[ssm_oa][INFO] [2016-07-19 17:26:01] org.springframework.web.context.ContextLoader.initWebApplicationContext(285) | Root WebApplicationContext: initialization started
[ssm_oa][INFO] [2016-07-19 17:26:02] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing Root WebApplicationContext: startup date [Tue Jul 19 17:26:02 CST 2016]; root of context hierarchy
[ssm_oa][INFO] [2016-07-19 17:26:02] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from URL [file:/G:/myoaRepo/oa-parent/oa-web/target/classes/spring/spring.xml]
[ssm_oa][INFO] [2016-07-19 17:26:02] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-admin/0.0.1-SNAPSHOT/oa-admin-0.0.1-SNAPSHOT.jar!/spring/spring.xml]
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-shopping/0.0.1-SNAPSHOT/oa-shopping-0.0.1-SNAPSHOT.jar!/spring/spring.xml]
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(822) | Overriding bean definition for bean 'dataSource': replacing [Generic bean: class [org.apache.commons.dbcp.BasicDataSource]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-admin/0.0.1-SNAPSHOT/oa-admin-0.0.1-SNAPSHOT.jar!/spring/spring.xml]] with [Generic bean: class [org.apache.commons.dbcp.BasicDataSource]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-shopping/0.0.1-SNAPSHOT/oa-shopping-0.0.1-SNAPSHOT.jar!/spring/spring.xml]]
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(822) | Overriding bean definition for bean 'sqlSessionFactory': replacing [Generic bean: class [org.mybatis.spring.SqlSessionFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-admin/0.0.1-SNAPSHOT/oa-admin-0.0.1-SNAPSHOT.jar!/spring/spring.xml]] with [Generic bean: class [org.mybatis.spring.SqlSessionFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-shopping/0.0.1-SNAPSHOT/oa-shopping-0.0.1-SNAPSHOT.jar!/spring/spring.xml]]
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(822) | Overriding bean definition for bean 'transactionManager': replacing [Generic bean: class [org.springframework.jdbc.datasource.DataSourceTransactionManager]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-admin/0.0.1-SNAPSHOT/oa-admin-0.0.1-SNAPSHOT.jar!/spring/spring.xml]] with [Generic bean: class [org.springframework.jdbc.datasource.DataSourceTransactionManager]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-shopping/0.0.1-SNAPSHOT/oa-shopping-0.0.1-SNAPSHOT.jar!/spring/spring.xml]]
[ssm_oa][WARN] [2016-07-19 17:26:03] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysDeptMapper' and 'com.shupro.oa.admin.dao.SysDeptMapper' mapperInterface. Bean already defined with the same name!
[ssm_oa][WARN] [2016-07-19 17:26:03] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysDictionaryMapper' and 'com.shupro.oa.admin.dao.SysDictionaryMapper' mapperInterface. Bean already defined with the same name!
[ssm_oa][WARN] [2016-07-19 17:26:03] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysLogMapper' and 'com.shupro.oa.admin.dao.SysLogMapper' mapperInterface. Bean already defined with the same name!
[ssm_oa][WARN] [2016-07-19 17:26:03] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysMenuMapper' and 'com.shupro.oa.admin.dao.SysMenuMapper' mapperInterface. Bean already defined with the same name!
[ssm_oa][WARN] [2016-07-19 17:26:03] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysRoleMapper' and 'com.shupro.oa.admin.dao.SysRoleMapper' mapperInterface. Bean already defined with the same name!
[ssm_oa][WARN] [2016-07-19 17:26:03] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'sysUserMapper' and 'com.shupro.oa.admin.dao.SysUserMapper' mapperInterface. Bean already defined with the same name!
[ssm_oa][WARN] [2016-07-19 17:26:03] org.mybatis.spring.mapper.ClassPathMapperScanner.checkCandidate(226) | Skipping MapperFactoryBean with name 'shopGoodsMapper' and 'com.shupro.oa.shopping.dao.ShopGoodsMapper' mapperInterface. Bean already defined with the same name!
[ssm_oa][WARN] [2016-07-19 17:26:03] org.mybatis.spring.mapper.ClassPathMapperScanner.doScan(158) | No MyBatis mapper was found in '[com.shupro.oa.*.dao]' package. Please check your configuration.
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from URL [file:/G:/myoaRepo/oa-parent/oa-web/target/classes/config.properties]
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-admin/0.0.1-SNAPSHOT/oa-admin-0.0.1-SNAPSHOT.jar!/config.properties]
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-shopping/0.0.1-SNAPSHOT/oa-shopping-0.0.1-SNAPSHOT.jar!/config.properties]
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from URL [file:/G:/myoaRepo/oa-parent/oa-web/target/classes/config.properties]
[ssm_oa][INFO] [2016-07-19 17:26:03] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from URL [jar:file:/E:/mavenrepo/com/shupro/test/oa-admin/0.0.1-SNAPSHOT/oa-admin-0.0.1-SNAPSHOT.jar!/config.properties]
